"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11","WT13","WT14","WT16","WT18","WT22"
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-01-27","4.25",,"0.00","0.1","1.0",,"28","11","  140","  140",,"10.1","13.0","    1",,,,,,,,,"    1",,,"    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-01-28","7.16",,"0.31","0.7","1.0",,"43","24","  270","  270",,"14.1","19.9",,"    1",,"    1",,,,,,,"    1",,"    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-01-29","6.26",,"0.48","0.0","0.0",,"55","32","  140","  200",,"17.9","23.9","    1","    1",,,,,,,,,"    1","    1",,
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-01-30","12.75",,"0.05","0.0","0.0",,"64","52","  210","  220",,"28.0","38.0",,,,,,,,,,,,"    1",,
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-01-31","25.72",,"0.11","0.6","0.0",,"56","23","  260","  240",,"40.0","59.1",,,,,,,,,,,,"    1","    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-02-01","12.75",,"0.05","1.7","0.0",,"23","18","  300","  290",,"21.9","31.1",,"    1",,,,,,,,"    1",,,"    1","    1"
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-02-02","10.07",,"0.00","0.0","1.0",,"21","15","  220","  220",,"21.0","25.1","    1",,,,,,,,,,,,"    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-02-03","5.59",,"0.00","0.1","1.0",,"25","13","  260","  250",,"17.9","23.0","    1",,,,,,,,,,,,"    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-02-04","11.63",,"0.00","0.0","0.0",,"23","16","  260","  260",,"23.0","28.0",,,,,,,,,,,,,"    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-02-05","4.92",,"0.01","0.4","1.0",,"27","17","  230","  220",,"13.0","16.1","    1",,,,,,,,,"    1",,,"    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-02-06","8.95",,"0.02","0.5","1.0",,"28","16","  300","  290",,"21.9","29.1","    1",,,,,,,,,,,,"    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-02-07","9.40",,"0.00","0.1","0.0",,"31","16","  100","  100",,"16.1","21.9",,,,,,,,,,,,,"    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-02-08","11.18",,"0.75","10.1","0.0",,"35","19","  360","   10",,"29.1","36.9","    1","    1",,,,,,,,,,,"    1","    1"
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-02-09","8.50",,"0.05","3.0","10.0",,"21","8","  340","  340",,"15.0","21.0",,,,,,,,,,"    1",,,"    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-02-10","5.82",,"0.00","0.0","10.0",,"37","3","  120","  200",,"13.0","17.0","    1",,,,,,,,,,,,,
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-02-11","18.57",,"0.05","0.1","7.0",,"51","34","  250","  260",,"40.0","49.0",,,,,,,,,"    1",,,"    1","    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-02-12","17.67",,"0.02","0.9","4.0",,"36","31","  260","  250",,"29.1","40.0",,,,,,,,"    1",,"    1",,,"    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-02-13","4.47",,"0.00","0.0","3.0",,"40","22","   10","   10",,"15.0","16.1",,,,,,,,,,,,,"    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-02-14","6.71",,"0.08","0.0","2.0",,"42","23","  200","  200",,"15.0","19.9",,,,,,,"    1",,,"    1",,"    1","    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-02-15","16.78",,"0.00","0.0","1.0",,"39","24","  240","  250",,"30.0","40.0",,,,,,,,,,,,"    1","    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-02-16","4.70",,"0.00","0.4","1.0",,"31","22","   30","   50",,"14.1","17.0",,,,,,,"    1",,,,,,"    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-02-17","11.41",,"0.10","3.9","3.0",,"22","12","  280","  290",,"25.1","32.0",,"    1",,,,,,,,"    1",,,"    1","    1"
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-02-18","7.38",,"0.01","0.4","3.0",,"30","10","  120","  280",,"13.0","27.1",,,,,,,,,,"    1",,,"    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-02-19","14.54",,"0.12","0.0","2.0",,"44","27","  260","  260",,"30.0","38.9",,,,,,,,,,,,"    1","    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-02-20","18.79",,"0.00","0.2","0.0",,"27","20","  270","  250",,"28.0","40.0",,,,,,,,,,,,,"    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-02-21","10.29",,"0.01","1.4","1.0",,"23","14","  280","  300",,"21.9","30.0",,,,,,,,,,,,,"    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-02-22","9.17",,"0.06","0.3","1.0",,"35","22","  110","  120",,"19.9","25.9",,"    1",,,,,,,,"    1",,,"    1","    1"
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-02-23","8.72",,"0.06","0.3","1.0",,"39","32","  190","  190",,"19.9","25.1",,,,,,,,,,"    1",,"    1","    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-02-24","10.29",,"0.01","0.1","0.0",,"33","30","  280","  290",,"17.9","23.9",,,,,,,,,,"    1",,,"    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-02-25","5.59",,"0.00","0.0","0.0",,"36","28","  280","  330",,"13.0","23.9",,,,,,,,,,,,,"    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-02-26","10.51",,"0.74","1.7","0.0",,"44","25","  120","  130",,"23.9","32.0","    1","    1",,"    1",,,,,,,,,"    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-02-27","7.61",,"0.66","2.8","1.0",,"35","33","   90","   80",,"19.9","23.9",,,,"    1",,,,,,,"    1","    1","    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-02-28","8.28",,"0.04","0.4","3.0",,"37","33","  240","  230",,"17.0","21.9","    1",,,,,,,,,"    1","    1","    1","    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-03-01","8.72",,"0.06","1.0","3.0",,"34","26","  280","  320",,"16.1","21.9","    1",,,,,,,,,"    1",,,"    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-03-02","8.72",,"0.02","0.5","2.0",,"28","23","  330","  300",,"15.0","17.9",,,,,,,,,,"    1",,,"    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-03-03","9.62",,"0.05","1.9","3.0",,"26","21","  300","  300",,"17.0","25.1",,,,,,,,,,"    1",,,"    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-03-04","13.65",,"0.00","0.1","4.0",,"30","22","  280","  270",,"21.0","31.1",,,,,,,"    1",,,,,,"    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-03-05","6.71",,"0.00","0.0","4.0",,"32","25","   60","   80",,"15.0","17.0",,,,,,,"    1",,,,,,"    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-03-06","9.40",,"0.00","0.0","3.0",,"39","23","   50","   30",,"17.0","32.0",,,,,,,,,,,,"    1","    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-03-07","7.61",,"0.01","0.3","2.0",,"37","31","   20","   20",,"15.0","17.0","    1",,,,,,,,,"    1",,,"    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-03-08","8.50",,"0.00","0.0","1.0",,"41","27","   10","   30",,"21.9","25.9",,,,,,,,,,,,,"    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-03-09","5.14",,"0.00","0.0","0.0",,"49","24","   40",,,"12.1",,"    1",,,,,,,,,"    1",,,,
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-03-10","8.50",,"0.00","0.0","0.0",,"64","32","  190","  190",,"17.9","28.0",,,,,,,,,,,,,,
